способный: able
про: about
за границей: abroad
принимать: accept
доступ: access
несчастный случай: accident
аккаунт: account
достигать: achieve
действия: act
действие: action
деятельность: activity
актер: actor
актриса: actress
адрес: address
добавляет: adds
преимущество: advantage
приключение: adventure
объявление: advertisement
реклама: advertising
совет: advice
влиять: affect
испуганный: afraid
после: after
после обеда: afternoon
опять: again
против: against
возраст: age
агент: agent
тому назад: ago
соглашаться: agree
соглашение: agreement
цель: aim
самолет: airplane
аэропорт: airport
воздух: airs
алкоголь: alcohol
живой: alive
все: all
позволять: allow
позволил: allowed
разрешает: allows
почти: almost
один: alone
рядом: along
уже: already
также: also
альтернативный: alternative
всегда: always
машина скорой помощи: ambulance
​​Америка: America
американский: american
среди: among
количество: amount
анализ: analysis
анализировать: analyze
объявляет: announce
другой: another
отвечать: answer
отвечает: answers
любой: any
кто-нибудь: anybody
что-нибудь: anything
где угодно: anywhere
появляться: appear
появляется: appears
приложение: application
применить: apply
встреча: appointment
приблизительно: approximately
апрель: april
архитектор: architect
район: area
аргумент: argument
рука: arm
армия: army
вокруг: around
арест: arrest
прибывает: arrive
прибыл: arrived
искусство: art
статья: article
художник: artist
как: as
спрашивать: ask
спрашивал: asked
спрашивает: asks
предполагать: assume
предположил: assumed
предполагает: assumes
у: at
спортсмен: athlete
атака: attack
попытка: attempt
внимание: attention
отношение: attitude
аудитория: audience
август: august
тетя: aunt
автор: author
доступный: available
проспект: avenue
средняя: average
избегать: avoid
награды: awards
прочь: away
малыш: baby
спина: back
рюкзак: backpack
плохой: bad
сумка: bag
мяч: ball
группа: band
банк: bank
бар: bar
корзина: basket
баскетбол: basketball
ванная: bathroom
аккумулятор: battery
битва: battle
пляж: beach
удар: beat
красивый: beautiful
красота: beauty
потому что: because
становиться: become
кровать: bed
простыни: bedsheets
был: been
перед: before
начинать: begin
начинает: begins
поведение: behavior
позади: behind
верить: believe
верит: believes
колокол: bell
принадлежать: belong
преимущества: benefits
лучший: best
лучше: better
между: between
велосипед: bicycle
большой: big
больше: bigger
двуязычный: bilingual
рождение: births
немного: bit
возлагать вину: blame
кровь: blood
управление: board
лодка: boat
тело: body
граница: border
босс: boss
оба: both
бутылка: bottle
миска: bowl
коробка: box
приятель: boyfriend
мозг: brain
бренд: brand
мост: bridge
братья: brothers
бюджет: budget
строить: build
здания: buildings
автобус: bus
бизнес: business
но: but
мимо: by
кабинет: cabinet
календарь: calendar
вызов: call
назвал: called
звонить: calling
звонит: calls
камера: camera
кампания: campaign
быть в состоянии сделать что-либо: can
рак: cancer
кандидат: candidate
не могу: cannot
столица: capital
капитан: captain
автомобиль: car
карта: card
уход: care
карьера: career
случай: case
замок: castle
категории: categories
причина: cause
сотовый телефон: cellphone
центр: center
столетие: century
цепь: chain
стул: chair
чемпионат: championship
изменение: change
изменил: changed
канал: channel
глава: chapter
персонаж: character
заряд: charge
дешевый: cheaper
проверка: check
химия: chemistry
грудь: chest
Китай: China
китайский: chinese
выбор: choice
выбирать: choose
церковь: church
кинотеатр: cinema
круг: circle
гражданин: citizen
город: city
класс: class
чистый: clean
чистый: cleaner
ясный: clear
ясно: clearly
климат: climate
часы: clock
закрыл: closed
тренер: coach
берег: coast
холодный: cold
коллекция: collection
колледж: college
расческа: comb
приезжать: come
приходит: comes
подходить: coming
комментарии: comments
комитет: committee
общение: communication
сообщество: community
компания: company
конкуренция: competition
полностью: completely
компьютер: computer
концепция: concept
концерт: concert
заключение: conclusion
условия: conditions
конференция: conference
конфликт: conflict
конгресс: congress
последствия: consequences
рассмотреть: consider
строительство: construction
содержит: contains
содержание: content
конкурс: contest
продолжать: continue
продолжает: continues
контракт: contract
контроль: control
удобный: convenient
разговор: conversation
повар: cook
приготовил: cooked
готовить: cooking
готовит: cooks
угол: corner
стоимость: cost
расходы: costs
могли: could
считать: count
страна: country
считает: counts
пара: couple
конечно: course
суд: court
прикрывать: cover
создает: creates
кредит: credit
преступление: crime
кризис: crisis
урожай: crop
культурный: cultural
культура: culture
чашка: cup
валюта: currency
в настоящее время: currently
резать: cut
режет: cuts
цикл: cycle
папа: dad
урон: damage
танец: dance
опасность: danger
темный: dark
дата: date
дочь: daughter
день: day
сделка: deal
смерть: death
долг: debt
десятилетие: decade
декабрь: december
решение: decision
снижение: decrease
глубокий: deep
определять: define
определенно: definitely
определение: definition
градусы: degrees
доставляет: deliver
доставляет: delivers
доставка: delivery
требование: demand
требует: demands
отдел: department
отправление: departure
глубина: depth
описание: description
дизайн: design
желание: desire
письменный стол: desk
детали: details
развивать: develop
разработал: developed
умереть: die
диета: diet
различие: difference
другой: different
трудность: difficulty
направление: direction
режиссёр: director
грязный: dirty
открытие: discover
открытие: discovery
обсуждение: discussion
болезнь: disease
расстояние: distance
район: district
доктор: doctor
документы: documents
делать: doing
доллары: dollars
сделанный: done
дверь: door
точки: dots
сомнения: doubts
вниз: down
сон: dream
пить: drink
пить: drinking
везти: drive
наркотики: drugs
выпил: drunk
сушит: dry
во время: during
пыль: dust
каждый: each
уши: ears
земля: earth
легко: easily
есть: eat
поел: eaten
есть: eating
экономика: economy
край: edge
издание: edition
образование: education
эффект: effect
эффективный: efficient
усилия: efforts
восемь: eight
восемнадцать: eighteen
восемьдесят: eighty
выборы: elections
электричество: electric
одиннадцать: eleven
еще: else
запасной: emergency
заканчивает: ends
враг: enemy
энергия: energy
двигатель: engine
инженер: engineer
Англия: England
достаточно: enough
вход: entrance
вход: entry
оборудование: equipment
особенно: especially
Европа: Europe
европейский: european
даже: even
вечер: evening
когда-либо: ever
каждый: every
каждый: everybody
каждый: everyone
все: everything
доказательства: evidence
точно: exactly
пример: example
превосходный: excellent
кроме: except
упражнение: exercise
упражнения: exercises
существовать: exist
существование: existence
выход: exit
дорогой: expensive
опыт: experience
объяснять: explain
объясняет: explains
объяснение: explanation
выражение: expression
глаза: eyes
лицо: face
терпеть неудачу: fail
сбой: failure
справедливый: fair
вера: faith
осень: fall
знакомый: familiar
семья: family
знаменитый: famous
далеко: far
ферма: farm
фермер: farmer
мода: fashion
быстрый: fast
отец: father
дефект: fault
одолжение: favor
страх: fear
февраль: february
чувствовать: feel
чувствует: feels
почувствовал: felt
несколько: few
поле: field
пятнадцать: fifteen
пятьдесят: fifty
фигура: figure
заполнять: fill
фильм: film
окончательный: final
наконец: finally
найти: find
находит: finds
пальцы: fingers
заканчивать: finish
Закончил: finished
огонь: fire
фирма: firm
первый: first
подходить: fit
подходит: fits
пять: five
флаг: flag
рейс: flight
пол: floor
цветы: flowers
флейта: flute
летает: fly
следовать: follow
сопроводил: followed
следовать: following
следует: follows
нога: foot
для: for
сила: force
принудил: forced
лес: forest
забывать: forget
вилки: forks
формула: formula
сорок: forty
фонд: foundation
четыре: four
четырнадцать: fourteen
четвертый: fourth
Франция: France
бесплатный: free
свобода: freedom
французский: french
частый: frequent
пятница: friday
друг: friend
от: from
фронт: front
полный: full
будущий: future
игра: game
