able:способный, умелый
abroad:за границей
accident:несчастный случай
advertisement:объявление, реклама
afternoon:после обеда
again:опять, снова
agree:соглашаться, соглашается
allowed:позволил, разрешил
along:рядом, вдоль
among:среди, между
anywhere:где угодно
appear:появляться, появляется
application:приложение, заявление
approximately:приблизительно, примерно
asked:спрашивал, просил
away:прочь, вдали
battery:аккумулятор, батарея
because:потому что
become:становиться, делаться
benefits:преимущества, выгоды
blame:возлагать вину
cannot:не могу
cellphone:сотовый телефон
change:изменение, менять
character:персонаж, характер
check:проверка, чек
conclusion:заключение, вывод
cook:повар, готовить
cooked:приготовил, сварил
count:считать, рассчитывать
course:конечно, курс
cut:резать, вырезать
damage:урон, ущерб
decrease:снижение, уменьшение
departure:отправление, выезд
design:дизайн, проектировать
desk:письменный стол
developed:разработал, развил
difficulty:трудность, затруднение
direction:направление, управление
done:сделанный, законченный
during:во время
enough:достаточно, довольно
excellent:превосходный, отличный
exercises:упражнения, тренировка
fail:терпеть неудачу
fair:справедливый, ярмарка
felt:почувствовал, чувствовал
few:несколько, мало
fill:заполнять, наполнять
film:фильм, пленка
firm:фирма, организация
fits:подходит, помещается
followed:сопроводил, проследовал
forced:принудил, заставил
from:от, из
glass:стекло, стакан
going:идти, пойти
gone:прошёл, ушёл
had:имел, было
has:было, имел
have:было, имел
heat:тепло, жара
hope:надежда, надеяться
import:импортирует, ввозит
issue:вопрос, проблема
kind:вид, добрый
lack:отсутствие, недостаток
landscape:пейзаж, ландшафт
leaves:оставляет, покидает
legal:юридический, законный
less:менее, меньше
let:позволять, разрешать
lets:позволяет, разрешает
load:нагрузка, загрузка
look:смотреть, взгляд
looks:смотрит, выглядит
lost:потерял, проиграл
matter:материя, вопрос
meaning:смысл, значение
missed:пропустил, соскучился
navy:военно-морской флот
near:рядом, возле
no:не, нет
nobody:никого, никто
normally:обычно, нормально
note:примечание, записка
offer:предлагать, предложение
on:на, по
open:открывать, открытый
option:выбор, вариант
order:заказ, приказ
ordered:заказал, приказал
pan:кастрюля, сковорода
permission:разрешение, позволение
permit:разрешение, пропуск
person:персона, лицо
personal:персональный, личный
personality:личность, индивидуальность
point:точка, очко
possibility:возможность, шанс
prepare:готовить, подготовить
presents:представляет, дарит
previous:предыдущий, ранее
previously:ранее, предварительно
prize:приз, премия
produce:производить, производит
produced:произвел, изготовил
promotion:продвижение, раскрутка
property:собственность, свойство
purpose:цель, намерение
rained:прошел дождь
raise:поднимать, растить
read:прочитал, читать
really:реально, действительно
reason:причина, повод
recent:недавний, последний
report:отчёт, доклад
reserve:резервирует, бронирует
respect:уважение, уважает
responsibility:ответственность, обязанность
rest:отдых, отдыхать
sad:грустный, печальный
sample:образец, пример
seen:видел, увидел
sent:отправил, послал
sharp:резкий, острый
side:противоположная сторона
site:место, сайт
some:некоторые, несколько
special:специальный, особенный
stage:этап, стадия
studies:изучение, исследование
subject:тема, предмет
sure:конечно, уверен
surprise:сюрприз, удивление
swimming:плавать, плавание
take:взять, брать
taken:взял, принял
through:сквозь, через
told:сказал, рассказал
tonight:этим вечером
too:слишком, тоже
toothbrush:зубная щетка
toothpaste:зубная паста
total:полный, тотальный
trend:тренд, тенденция
tried:попробовал, попытался
truth:правда, истина
turns:поворачивает, превращает
vehicle:транспортное средство
wait:ожидать, ждать
wake:будить, просыпаться
walk:прогулка, ходить
walked:ходил, шел
wanted:хотел, захотел
watches:смотрит, наблюдает
way:путь, способ
whole:полный, целый
wishes:желания, желает
work:работа, работать
yet:пока еще
dog:собака, пёс
